DS_ID,DATASOURCE,UNIPROT_ID,GENE_SYMBOL,GENE_NAME,GENE_SYNONYMS,BIOMOLECULE_TYPE
,UniProtKB,A0A0C4DH30,IGHV3-16,Probable non-functional immunoglobulin heavy variable 3-16,IGHV3-16,protein
,UniProtKB,A0A0C4DH31,IGHV1-18,Immunoglobulin heavy variable 1-18,IGHV1-18,protein
,UniProtKB,A0A0C4DH32,IGHV3-20,Immunoglobulin heavy variable 3-20,IGHV3-20,protein
,UniProtKB,A0A0C4DH33,IGHV1-24,Immunoglobulin heavy variable 1-24,IGHV1-24,protein
,UniProtKB,A0A0C4DH34,IGHV4-28,Immunoglobulin heavy variable 4-28,IGHV4-28,protein
,UniProtKB,A0A0C4DH35,IGHV3-35,Probable non-functional immunoglobulin heavy variable 3-35,IGHV3-35,protein
,UniProtKB,A0A0C4DH36,IGHV3-38,Probable non-functional immunoglobulin heavy variable 3-38,IGHV3-38,protein
,UniProtKB,A0A0C4DH38,IGHV5-51,Immunoglobulin heavy variable 5-51,IGHV5-51,protein
,UniProtKB,A0A0C4DH39,IGHV1-58,Immunoglobulin heavy variable 1-58,IGHV1-58,protein
,UniProtKB,A0A0C4DH41,IGHV4-61,Immunoglobulin heavy variable 4-61,IGHV4-61,protein
,UniProtKB,A0A0C4DH42,IGHV3-66,Immunoglobulin heavy variable 3-66,IGHV3-66,protein
,UniProtKB,A0A0C4DH43,IGHV2-70D,Immunoglobulin heavy variable 2-70D,IGHV2-70D,protein
,UniProtKB,A0A0C4DH55,IGKV3D-7,Immunoglobulin kappa variable 3D-7,IGKV3D-7,protein
,UniProtKB,A0A0C4DH59,TRBV5-4,T cell receptor beta variable 5-4,TRBV5-4,protein
,UniProtKB,A0A0C4DH62,IGHJ1,Immunoglobulin heavy joining 1,IGHJ1,protein
,UniProtKB,A0A0C4DH67,IGKV1-8,Immunoglobulin kappa variable 1-8,IGKV1-8,protein
,UniProtKB,A0A0C4DH68,IGKV2-24,Immunoglobulin kappa variable 2-24,IGKV2-24,protein
,UniProtKB,A0A0C4DH69,IGKV1-9,Immunoglobulin kappa variable 1-9,IGKV1-9,protein
,UniProtKB,A0A0C4DH72,IGKV1-6,Immunoglobulin kappa variable 1-6,IGKV1-6,protein
,UniProtKB,A0A0C4DH73,IGKV1-12,Immunoglobulin kappa variable 1-12,IGKV1-12,protein
,UniProtKB,A0A0C5B5G6,MT-RNR1,Mitochondrial-derived peptide MOTS-c,MT-RNR1,protein
,UniProtKB,A0A0D9SF12,CCDC163,Transmembrane protein CCDC163,CCDC163|C1orf231|CCDC163P,protein
,UniProtKB,A0A0G2JLE6,KRTAP4-8,HCG2042992,KRTAP4-8|hCG_2042992,protein
,UniProtKB,A0A0G2JMD5,PRAMEF33,PRAME family member 33,PRAMEF33,protein
,UniProtKB,A0A0G2JMH3,LOC107984156,ADP-ribosylation factor-like protein 17 C-terminal domain-containing protein,LOC107984156,protein
,UniProtKB,A0A0G2JMI3,IGHV1-69-2,Immunoglobulin heavy variable 1-69-2,IGHV1-69-2,protein
,UniProtKB,A0A0G2JNH3,A0A0G2JNH3,Olfactory receptor,,protein
,UniProtKB,A0A0G2JS06,IGLV5-39,Immunoglobulin lambda variable 5-39,IGLV5-39,protein
,UniProtKB,A0A0J9YVY3,IGHV7-4-1,Immunoglobulin heavy variable 7-4-1,IGHV7-4-1,protein
,UniProtKB,A0A0J9YWL9,TEX13C,Putative testis-expressed protein 13C,TEX13C,protein
,UniProtKB,A0A0J9YWP8,TRBJ1-3,T cell receptor beta joining 1-3,TRBJ1-3,protein
,UniProtKB,A0A0J9YWX3,TRBJ1-6,T cell receptor beta joining 1-6,TRBJ1-6,protein
,UniProtKB,A0A0J9YX06,TRBJ1-2,T cell receptor beta joining 1-2,TRBJ1-2,protein
,UniProtKB,A0A0J9YX35,IGHV3-64D,Immunoglobulin heavy variable 3-64D,IGHV3-64D,protein
,UniProtKB,A0A0J9YX75,TRBV6-9,T cell receptor beta variable 6-9,TRBV6-9,protein
,UniProtKB,A0A0J9YXA8,TRBJ1-1,T cell receptor beta joining 1-1,TRBJ1-1,protein
